fdc_id,description,brand_owner,data_type,food_category,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,cholesterol_mg,saturated_fat_g,protein_per_calorie
2710744,"Nutritional powder mix, protein, light, NFS",N/A,Survey (FNDDS),Protein and nutritional powders,396.0,50.0,12.0,22.0,,2.0,250.0,10.0,1.087,0.126
2710741,"Nutritional powder mix, high protein, NFS",N/A,Survey (FNDDS),Protein and nutritional powders,392.0,53.57,10.71,20.38,,0.0,1214.0,0.0,0.0,0.137
2708114,"Breakfast bar, NFS",N/A,Survey (FNDDS),Cereal bars,376.0,4.4,7.5,72.8,,2.1,337.0,0.0,1.5,0.012
2708100,"Snack bar, oatmeal",N/A,Survey (FNDDS),Cereal bars,389.0,6.67,6.67,75.47,,4.6,367.0,36.0,1.299,0.017
2707935,"Cookie, lemon bar",N/A,Survey (FNDDS),Cookies and brownies,437.0,5.13,18.94,62.65,,0.8,224.0,75.0,3.753,0.012
2707974,"Cookie, toffee bar",N/A,Survey (FNDDS),Cookies and brownies,492.0,5.1,24.72,65.36,,2.0,311.0,0.0,8.091,0.01
2708083,Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),N/A,Survey (FNDDS),Cereal bars,365.0,4.22,8.67,67.61,,3.0,354.0,0.0,1.442,0.012
2708084,Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),N/A,Survey (FNDDS),Cereal bars,365.0,4.22,8.67,67.61,,3.0,354.0,0.0,1.442,0.012
2708098,Cereal or granola bar (Quaker Chewy Dipps Granola Bar),N/A,Survey (FNDDS),Cereal bars,480.0,7.52,20.42,64.96,,3.2,269.0,0.0,8.693,0.016
2708096,Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),N/A,Survey (FNDDS),Cereal bars,408.0,4.17,8.33,79.17,,4.2,313.0,0.0,2.083,0.01
2710733,"Nutritional powder mix, high protein (Herbalife)",N/A,Survey (FNDDS),Protein and nutritional powders,392.0,53.57,10.71,20.38,,0.0,1214.0,0.0,0.0,0.137
2705641,"Ice cream bar, chocolate",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,329.0,4.41,23.89,25.17,,1.5,67.0,27.0,13.099,0.013
2710743,"Nutritional powder mix, protein, soy based, NFS",N/A,Survey (FNDDS),Protein and nutritional powders,388.0,55.56,5.56,28.89,,6.7,733.0,0.0,1.111,0.143
2708101,"Cereal or Granola bar, NFS",N/A,Survey (FNDDS),Cereal bars,471.0,10.1,19.8,64.4,,5.3,294.0,0.0,2.37,0.021
2709312,Frozen fruit juice bar,N/A,Survey (FNDDS),"Gelatins, ices, sorbets",106.0,0.81,0.06,25.4,,0.5,6.0,0.0,0.0,0.008
2708094,Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),N/A,Survey (FNDDS),Cereal bars,471.0,10.1,19.8,64.4,,5.3,294.0,0.0,2.37,0.021
2708082,Cereal or granola bar (General Mills Fiber One Chewy Bar),N/A,Survey (FNDDS),Cereal bars,389.0,5.0,10.0,69.82,,22.5,237.0,0.0,3.397,0.013
2708085,Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),N/A,Survey (FNDDS),Cereal bars,403.0,9.38,10.93,66.72,,7.5,195.0,0.0,1.93,0.023
2708097,Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),N/A,Survey (FNDDS),Cereal bars,412.0,5.55,12.5,69.4,,3.1,312.0,0.0,5.008,0.013
2708103,"Cereal or granola bar, nonfat",N/A,Survey (FNDDS),Cereal bars,342.0,5.9,0.9,77.6,,7.4,16.0,0.0,0.2,0.017
2705640,Ice cream candy bar,N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,323.0,4.4,20.2,30.9,,0.6,92.0,1.0,12.658,0.014
2705457,"Frozen yogurt bar, vanilla",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,127.0,3.0,3.6,21.6,,0.0,63.0,13.0,2.326,0.024
2705515,"Fruit smoothie, with whole fruit and dairy, added protein",N/A,Survey (FNDDS),Smoothies and grain drinks,79.0,7.35,1.24,10.04,,1.1,40.0,5.0,0.669,0.093
2708086,Milk 'n Cereal bar,N/A,Survey (FNDDS),Cereal bars,413.0,6.47,10.98,72.05,,0.4,319.0,6.0,9.114,0.016
2708125,Nutrition bar (Tiger's Milk),N/A,Survey (FNDDS),Nutrition bars,387.0,16.8,14.29,56.46,,2.3,168.0,2.0,2.073,0.043
2707928,"Cookie, fruit-filled bar",N/A,Survey (FNDDS),Cookies and brownies,348.0,3.7,7.3,70.9,,4.6,350.0,0.0,1.123,0.011
2705458,"Frozen yogurt bar, chocolate",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,131.0,3.0,3.6,21.6,,2.3,63.0,13.0,2.272,0.023
2705638,"Ice cream bar, vanilla",N/A,Survey (FNDDS),Ice cream and frozen dairy desserts,358.0,2.11,25.26,37.12,,1.1,84.0,16.0,17.895,0.006
2035482,GREEK YOGURT,"Ocean Spray Cranberries, Inc.",Branded,"Popcorn, Peanuts, Seeds & Related Snacks",467.0,3.33,20.0,70.0,,3.3,33.0,0.0,16.7,0.007
373595,GREEK YOGURT,TRADER JOE'S,Branded,Yogurt,132.0,4.85,7.05,12.3,,0.0,59.0,20.0,3.52,0.037
2038865,GREEK YOGURT,"Chobani, Inc.",Branded,Yogurt,80.0,8.67,0.0,10.7,,0.0,43.0,3.0,0.0,0.108
2475934,GREEK YOGURT,"Cafe Hon, Inc.",Branded,Yogurt,65.0,11.8,0.0,4.12,,0.0,44.0,0.0,0.0,0.182
2038866,GREEK YOGURT,"Chobani, Inc.",Branded,Yogurt,93.0,7.33,2.0,12.0,,0.7,37.0,7.0,1.33,0.079
468388,GREEK YOGURT,FRESH & EASY,Branded,Yogurt,73.0,8.0,0.0,10.0,,0.0,33.0,3.0,0.0,0.11
464109,GREEK YOGURT,GREEN MOUNTAIN CREAMERY,Branded,Yogurt,80.0,8.0,0.0,12.0,,0.0,33.0,3.0,0.0,0.1
2098882,GREEK YOGURT,Hain Refrigerated Foods Inc.,Branded,Honey,128.0,3.52,6.17,15.0,,0.0,57.0,22.0,3.96,0.028
2067281,GREEK YOGURT,"Chobani, Inc.",Branded,Yogurt,87.0,8.0,0.0,12.7,,0.7,40.0,3.0,0.0,0.092
2067023,GREEK YOGURT,Karoun Dairies Inc.,Branded,Yogurt,153.0,3.33,10.0,12.7,,0.0,40.0,33.0,6.67,0.022
2705441,"Yogurt, Greek, with oats",N/A,Survey (FNDDS),"Yogurt, Greek",149.0,9.22,3.67,20.02,,1.5,58.0,6.0,0.838,0.062
2705432,"Yogurt, Greek, nonfat milk, fruit",N/A,Survey (FNDDS),"Yogurt, Greek",83.0,9.21,0.34,10.81,,0.1,36.0,4.0,0.097,0.111
2705424,"Yogurt, Greek, nonfat milk, plain",N/A,Survey (FNDDS),"Yogurt, Greek",59.0,10.3,0.37,3.64,,0.0,36.0,5.0,0.108,0.175
2705430,"Yogurt, Greek, whole milk, fruit",N/A,Survey (FNDDS),"Yogurt, Greek",114.0,7.85,3.91,11.8,,0.1,34.0,15.0,2.128,0.069
2705422,"Yogurt, Greek, whole milk, plain",N/A,Survey (FNDDS),"Yogurt, Greek",94.0,8.78,4.39,4.75,,0.0,34.0,17.0,2.39,0.093
2705431,"Yogurt, Greek, low fat milk, fruit",N/A,Survey (FNDDS),"Yogurt, Greek",91.0,9.11,1.33,10.78,,0.1,35.0,7.0,0.715,0.1
2705423,"Yogurt, Greek, low fat milk, plain",N/A,Survey (FNDDS),"Yogurt, Greek",67.0,10.2,1.36,3.6,,0.0,36.0,8.0,0.726,0.152
2705415,"Yogurt, Greek, NS as to type of milk or flavor",N/A,Survey (FNDDS),"Yogurt, Greek",91.0,9.11,1.33,10.78,,0.1,35.0,7.0,0.715,0.1
2705429,"Yogurt, Greek, NS as to type of milk, fruit",N/A,Survey (FNDDS),"Yogurt, Greek",91.0,9.11,1.33,10.78,,0.1,35.0,7.0,0.715,0.1
2705421,"Yogurt, Greek, NS as to type of milk, plain",N/A,Survey (FNDDS),"Yogurt, Greek",67.0,10.2,1.36,3.6,,0.0,36.0,8.0,0.726,0.152
2705440,"Yogurt, Greek, nonfat milk, flavors other than fruit",N/A,Survey (FNDDS),"Yogurt, Greek",73.0,9.17,0.34,8.22,,0.0,32.0,4.0,0.096,0.126
2705438,"Yogurt, Greek, whole milk, flavors other than fruit",N/A,Survey (FNDDS),"Yogurt, Greek",104.0,7.81,3.92,9.21,,0.0,31.0,15.0,2.127,0.075
2705439,"Yogurt, Greek, low fat milk, flavors other than fruit",N/A,Survey (FNDDS),"Yogurt, Greek",81.0,9.07,1.34,8.18,,0.0,32.0,7.0,0.714,0.112
2705437,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",N/A,Survey (FNDDS),"Yogurt, Greek",81.0,9.07,1.34,8.18,,0.0,32.0,7.0,0.714,0.112
2709830,"Greek Salad, no dressing",N/A,Survey (FNDDS),Vegetable dishes,48.0,2.75,2.26,4.35,,1.5,246.0,6.0,0.859,0.057
2705443,Yogurt tube,N/A,Survey (FNDDS),"Yogurt, regular",81.0,4.34,1.03,13.68,,0.1,60.0,5.0,0.671,0.054
2705442,"Yogurt, liquid",N/A,Survey (FNDDS),"Yogurt, regular",74.0,3.65,1.07,12.55,,0.1,53.0,4.0,0.689,0.049
2705414,"Yogurt, NFS",N/A,Survey (FNDDS),"Yogurt, regular",94.0,6.67,2.87,10.22,,0.1,49.0,11.0,1.626,0.071
